groups,ingredients,marine_diet,plant_diet,X5
Marine proteins - totals,NA,32,15,NA
Marine proteins,fishmeal-wild,32,15,NA
Marine oils - totals,NA,23,10,NA
Marine oils,fish oil-wild,23,10,NA
Plant proteins - totals,NA,36,40,NA
Plant proteins,soy protein concentrate,0,20,NA
Plant proteins,soybean meal,17,0,NA
Plant proteins,wheat gluten,13,10,NA
Plant proteins,corn gluten meal,4,4,NA
Plant proteins,faba beans,2,3,NA
Plant proteins,sunflower meal,0,1,NA
Plant proteins,pea protein concentrate,0,2,NA
Plant proteins,guar meal,0,0,NA
Plant oils - totals,NA,0,20,NA
Plant oils,canola/camelina oil,0,19,NA
Plant oils,linseed oil,0,1,NA
Carbohydrates - totals,NA,7,11,NA
Carbohydrates,wheat,7,9,NA
Carbohydrates,pea starch,0,1,NA
Carbohydrates,corn starch,0,1,NA
Microingredients,NA,2,4,NA
NA,NA,100,100,NA
